# OurAirports airports.csv, filtered and vendored. Nothing here is typed by hand.
#
# Source     https://davidmegginson.github.io/ourairports-data/airports.csv
# Licence    Public domain (OurAirports releases its data into the public domain)
# Retrieved  2026-09-20
# Filter     iso_country = IN, iata_code non-empty, scheduled_service = yes
# Rows       116
# Columns    kept verbatim from the source, unused source columns dropped
#
# Refreshing this file: re-run the filter above against a fresh download. Do not
# edit rows in place. A correction belongs upstream in OurAirports, so the next
# refresh does not silently undo it.
#
# Lines beginning with # are skipped by the loader. Everything after is RFC 4180.
"ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","icao_code","iata_code","wikipedia_link"
"VIHX","large_airport","Halwara International Airport","30.748501","75.629799","790","AS","IN","IN-PB","Halwara","yes","VIHX","HWR","https://en.wikipedia.org/wiki/Ludhiana_Halwara_International_Airport"
"VOHS","large_airport","Rajiv Gandhi International Airport","17.231318","78.429855","2024","AS","IN","IN-TG","Hyderabad","yes","VOHS","HYD","https://en.wikipedia.org/wiki/Rajiv_Gandhi_International_Airport"
"VAID","large_airport","Devi Ahilya Bai Holkar International Airport","22.721404","75.80051","1850","AS","IN","IN-MP","Indore","yes","VAID","IDR","https://en.wikipedia.org/wiki/Devi_Ahilyabai_Holkar_International_Airport"
"VEIM","large_airport","Bir Tikendrajit International Airport","24.76","93.896698","2540","AS","IN","IN-MN","Imphal","yes","VEIM","IMF","https://en.wikipedia.org/wiki/Imphal_Airport"
"VAOZ","large_airport","Nashik International Airport","20.119101","73.912903","1900","AS","IN","IN-MM","Nashik","yes","VAOZ","ISK","https://en.wikipedia.org/wiki/Nashik_Airport"
"VEAT","medium_airport","Agartala - Maharaja Bir Bikram Airport","23.886999","91.240402","46","AS","IN","IN-TR","Agartala","yes","VEAT","IXA","https://en.wikipedia.org/wiki/Agartala_Airport"
"VEBD","large_airport","Bagdogra Airport","26.6812","88.328598","412","AS","IN","IN-WB","Siliguri","yes","VEBD","IXB","https://en.wikipedia.org/wiki/Bagdogra_Airport"
"VICG","large_airport","Shaheed Bhagat Singh International Airport","30.6735","76.788498","1012","AS","IN","IN-CH","Chandigarh","yes","VICG","IXC","https://en.wikipedia.org/wiki/Chandigarh_Airport"
"VIAL","medium_airport","Prayagraj Airport","25.4401","81.733902","322","AS","IN","IN-UP","Allahabad","yes","VEAB","IXD","https://en.wikipedia.org/wiki/Prayagraj_Airport"
"VOML","large_airport","Mangaluru International Airport","12.95471","74.886812","337","AS","IN","IN-KA","Mangaluru","yes","VOML","IXE","https://en.wikipedia.org/wiki/Mangalore_International_Airport"
"VABM","medium_airport","Belagavi Airport","15.8593","74.618301","2487","AS","IN","IN-KA","Belgaum","yes","VOBM","IXG","https://en.wikipedia.org/wiki/Belgaum_Airport"
"VELR","medium_airport","Lilabari North Lakhimpur Airport","27.295682","94.097266","330","AS","IN","IN-AS","Lilabari","yes","VELR","IXI","https://en.wikipedia.org/wiki/Lilabari_Airport"
"VIJU","medium_airport","Jammu Airport","32.688849","74.838152","996","AS","IN","IN-JK","Jammu","yes","VIJU","IXJ","https://en.wikipedia.org/wiki/Jammu_Airport"
"VAKS","medium_airport","Keshod Airport","21.317101","70.270401","167","AS","IN","IN-GJ","Keshod","yes","VAKS","IXK","https://en.wikipedia.org/wiki/Keshod_Airport"
"VILH","medium_airport","Leh Kushok Bakula Rimpochee Airport","34.135899","77.546501","10682","AS","IN","IN-LA","Leh","yes","VILH","IXL","https://en.wikipedia.org/wiki/Leh_Kushok_Bakula_Rimpochee_Airport"
"VOMD","medium_airport","Madurai Airport","9.83450984955","78.09339904790001","459","AS","IN","IN-TN","Madurai","yes","VOMD","IXM","https://en.wikipedia.org/wiki/Madurai_Airport"
"VIPK","medium_airport","Pathankot Airport","32.233611","75.634444","1017","AS","IN","IN-PB","Pathankot","yes","VIPK","IXP","https://en.wikipedia.org/wiki/Pathankot_Airport"
"VERC","medium_airport","Birsa Munda Airport","23.314300537100003","85.3217010498","2148","AS","IN","IN-JH","Ranchi","yes","VERC","IXR","https://en.wikipedia.org/wiki/Birsa_Munda_Airport"
"VEKU","medium_airport","Silchar Airport","24.9129009247","92.97869873050001","352","AS","IN","IN-AS","Silchar","yes","VEKU","IXS","https://en.wikipedia.org/wiki/Silchar_Airport"
"VAAU","medium_airport","Aurangabad Airport","19.862875","75.396312","1911","AS","IN","IN-MM","Aurangabad","yes","VAAU","IXU","https://en.wikipedia.org/wiki/Aurangabad_Airport"
"VAKE","medium_airport","Kandla Airport","23.1127","70.100304","96","AS","IN","IN-GJ","Kandla","yes","VAKE","IXY","https://en.wikipedia.org/wiki/Kandla_Airport"
"VOPB","large_airport","Veer Savarkar International Airport / INS Utkrosh","11.640194","92.72902","13","AS","IN","IN-AN","Port Blair","yes","VOPB","IXZ","https://en.wikipedia.org/wiki/Veer_Savarkar_International_Airport"
"VIJP","large_airport","Jaipur International Airport","26.8242","75.812202","1263","AS","IN","IN-RJ","Jaipur","yes","VIJP","JAI","https://en.wikipedia.org/wiki/Jaipur_International_Airport"
"VIJO","medium_airport","Jodhpur Airport","26.251100540161133","73.04889678955078","717","AS","IN","IN-RJ","Jodhpur","yes","VIJO","JDH","https://en.wikipedia.org/wiki/Jodhpur_Airport"
"VAJM","medium_airport","Jamnagar Airport","22.465499877929688","70.01260375976562","69","AS","IN","IN-GJ","Jamnagar","yes","VAJM","JGA","https://en.wikipedia.org/wiki/Jamnagar_Airport"
"IN-JGB","small_airport","Jagdalpur Airport","19.074301","82.036797","1822","AS","IN","IN-CT","Jagdalpur","yes","VEJR","JGB","https://en.wikipedia.org/wiki/Jagdalpur_Airport"
"VAJL","small_airport","Jalgaon Airport","20.962678","75.627492","818","AS","IN","IN-MM","Jalgaon","yes","VAJL","JLG","https://en.wikipedia.org/wiki/Jalgaon_Airport"
"VAJB","medium_airport","Jabalpur Airport","23.177799","80.052002","1624","AS","IN","IN-MP","Jabalpur","yes","VAJB","JLR","https://en.wikipedia.org/wiki/Jabalpur_Airport"
"VEJH","small_airport","Jharsuguda Airport","21.9135","84.0504","751","AS","IN","IN-OR","","yes","VEJH","JRG","https://en.wikipedia.org/wiki/Jharsuguda_Airport"
"VEJT","medium_airport","Jorhat Airport","26.730456","94.175416","311","AS","IN","IN-AS","Jorhat","yes","VEJT","JRH","https://en.wikipedia.org/wiki/Jorhat_Airport"
"VIJR","medium_airport","Jaisalmer Airport","26.8887","70.864998","751","AS","IN","IN-RJ","","yes","VIJR","JSA","https://en.wikipedia.org/wiki/Jaisalmer_Airport"
"VOKU","medium_airport","Kurnool Airport","15.716288","78.16923","920","AS","IN","IN-AP","Orvakal","yes","VOKU","KJB","https://en.wikipedia.org/wiki/Kurnool_Airport"
"VAKP","medium_airport","Kolhapur Airport","16.6647","74.289398","1996","AS","IN","IN-MM","Kolhapur","yes","VAKP","KLH","https://en.wikipedia.org/wiki/Kolhapur_Airport"
